Study,GalaxyName,Redshift,Magnification,ResolvedMass,ResolvedMassLowerErr,ResolvedMassUpperErr,IntegratedMass,IntegratedMassLowerErr,IntegratedMassUpperErr
Pérez-González+23,47,0,1,10.66393443,0,0,10.61102236,0,0
Pérez-González+23,48,0,1,10.68032787,0,0,10.59504792,0,0
Pérez-González+23,49,0,1,10.68032787,0,0,10.59504792,0,0
Pérez-González+23,50,0,1,10.70491803,0,0,10.56309904,0,0
Pérez-González+23,51,0,1,10.7295082,0,0,10.42731629,0,0
Pérez-González+23,52,0,1,10.80327869,0,0,10.39536741,0,0
Pérez-González+23,53,0,1,10.6147541,0,0,10.01198083,0,0
Pérez-González+23,54,0,1,10.57377049,0,0,9.876198083,0,0
Pérez-González+23,55,0,1,10.36885246,0,0,9.700479233,0,0
Pérez-González+23,56,0,1,10.31967213,0,0,9.852236422,0,0
Pérez-González+23,57,0,1,10.20491803,0,0,9.956070288,0,0
Pérez-González+23,58,0,1,10.46721311,0,0,10.10782748,0,0
Pérez-González+23,59,0,1,10.16393443,0,0,9.82028754,0,0
Pérez-González+23,60,0,1,10.16393443,0,0,9.908146965,0,0
Pérez-González+23,61,0,1,10.12295082,0,0,9.924121406,0,0
Pérez-González+23,62,0,1,10.07377049,0,0,10.00399361,0,0
Pérez-González+23,63,0,1,9.991803279,0,0,9.892172524,0,0
Pérez-González+23,64,0,1,9.942622951,0,0,9.932108626,0,0
Pérez-González+23,65,0,1,9.93442623,0,0,9.908146965,0,0
Pérez-González+23,66,0,1,9.901639344,0,0,9.852236422,0,0
Pérez-González+23,67,0,1,9.885245902,0,0,9.900159744,0,0
Pérez-González+23,68,0,1,9.827868852,0,0,9.868210863,0,0
Pérez-González+23,69,0,1,9.827868852,0,0,9.868210863,0,0
Pérez-González+23,70,0,1,9.959016393,0,0,9.740415335,0,0
Pérez-González+23,71,0,1,9.795081967,0,0,9.82827476,0,0
Pérez-González+23,72,0,1,10.02459016,0,0,10.18769968,0,0
Pérez-González+23,73,0,1,10.02459016,0,0,10.20367412,0,0
